Epoch 1.74 / 50, i = 264 / 17800, loss = 1.977484
Epoch 1.74 / 50, i = 265 / 17800, loss = 2.051807
Epoch 1.75 / 50, i = 266 / 17800, loss = 2.014482
Epoch 1.75 / 50, i = 267 / 17800, loss = 2.006488
Epoch 1.75 / 50, i = 268 / 17800, loss = 2.005095
Epoch 1.76 / 50, i = 269 / 17800, loss = 2.010310
Epoch 1.76 / 50, i = 270 / 17800, loss = 2.023378
Epoch 1.76 / 50, i = 271 / 17800, loss = 2.031391
Epoch 1.76 / 50, i = 272 / 17800, loss = 2.027091
Epoch 1.77 / 50, i = 273 / 17800, loss = 2.034160
Epoch 1.77 / 50, i = 274 / 17800, loss = 2.012903
Epoch 1.77 / 50, i = 275 / 17800, loss = 2.050575
Epoch 1.78 / 50, i = 276 / 17800, loss = 2.029484
Epoch 1.78 / 50, i = 277 / 17800, loss = 2.002783
Epoch 1.78 / 50, i = 278 / 17800, loss = 1.999691
Epoch 1.78 / 50, i = 279 / 17800, loss = 2.003630
Epoch 1.79 / 50, i = 280 / 17800, loss = 1.998853
Epoch 1.79 / 50, i = 281 / 17800, loss = 1.984862
Epoch 1.79 / 50, i = 282 / 17800, loss = 1.980948
Epoch 1.79 / 50, i = 283 / 17800, loss = 1.964973
Epoch 1.80 / 50, i = 284 / 17800, loss = 2.005999
Epoch 1.80 / 50, i = 285 / 17800, loss = 1.976999
Epoch 1.80 / 50, i = 286 / 17800, loss = 2.020134
Epoch 1.81 / 50, i = 287 / 17800, loss = 1.982183
Epoch 1.81 / 50, i = 288 / 17800, loss = 1.967287
Epoch 1.81 / 50, i = 289 / 17800, loss = 1.991910
Epoch 1.81 / 50, i = 290 / 17800, loss = 1.995324
Epoch 1.82 / 50, i = 291 / 17800, loss = 2.019644
Epoch 1.82 / 50, i = 292 / 17800, loss = 1.934634
Epoch 1.82 / 50, i = 293 / 17800, loss = 1.965075
Epoch 1.83 / 50, i = 294 / 17800, loss = 1.980732
Epoch 1.83 / 50, i = 295 / 17800, loss = 2.000444
Epoch 1.83 / 50, i = 296 / 17800, loss = 1.958441
Epoch 1.83 / 50, i = 297 / 17800, loss = 1.971691
Epoch 1.84 / 50, i = 298 / 17800, loss = 1.938060
Epoch 1.84 / 50, i = 299 / 17800, loss = 2.037954
Epoch 1.84 / 50, i = 300 / 17800, loss = 1.962624
Epoch 1.85 / 50, i = 301 / 17800, loss = 1.988005
Epoch 1.85 / 50, i = 302 / 17800, loss = 1.986289
Epoch 1.85 / 50, i = 303 / 17800, loss = 1.944753
Epoch 1.85 / 50, i = 304 / 17800, loss = 1.944801
Epoch 1.86 / 50, i = 305 / 17800, loss = 2.024047
Epoch 1.86 / 50, i = 306 / 17800, loss = 1.992846
Epoch 1.86 / 50, i = 307 / 17800, loss = 1.996727
Epoch 1.87 / 50, i = 308 / 17800, loss = 1.994408
Epoch 1.87 / 50, i = 309 / 17800, loss = 1.964969
Epoch 1.87 / 50, i = 310 / 17800, loss = 1.971999
Epoch 1.87 / 50, i = 311 / 17800, loss = 1.938114
Epoch 1.88 / 50, i = 312 / 17800, loss = 1.953514
Epoch 1.88 / 50, i = 313 / 17800, loss = 1.954388
Epoch 1.88 / 50, i = 314 / 17800, loss = 1.917160
Epoch 1.88 / 50, i = 315 / 17800, loss = 1.919246
Epoch 1.89 / 50, i = 316 / 17800, loss = 1.937125
Epoch 1.89 / 50, i = 317 / 17800, loss = 1.958833
Epoch 1.89 / 50, i = 318 / 17800, loss = 1.958129
Epoch 1.90 / 50, i = 319 / 17800, loss = 1.955091
Epoch 1.90 / 50, i = 320 / 17800, loss = 1.983419
Epoch 1.90 / 50, i = 321 / 17800, loss = 1.951891
Epoch 1.90 / 50, i = 322 / 17800, loss = 1.970593
Epoch 1.91 / 50, i = 323 / 17800, loss = 1.978171
Epoch 1.91 / 50, i = 324 / 17800, loss = 1.911620
Epoch 1.91 / 50, i = 325 / 17800, loss = 1.951714
Epoch 1.92 / 50, i = 326 / 17800, loss = 1.974362
Epoch 1.92 / 50, i = 327 / 17800, loss = 1.933222
Epoch 1.92 / 50, i = 328 / 17800, loss = 1.927551
Epoch 1.92 / 50, i = 329 / 17800, loss = 1.921235
Epoch 1.93 / 50, i = 330 / 17800, loss = 1.923134
Epoch 1.93 / 50, i = 331 / 17800, loss = 1.978934
Epoch 1.93 / 50, i = 332 / 17800, loss = 1.939693
