Running with CUDA on GPU 0	
Epoch 1.68 / 80, i = 243 / 28480, loss = 2.138940	
Epoch 1.69 / 80, i = 244 / 28480, loss = 2.083649	
Epoch 1.69 / 80, i = 245 / 28480, loss = 2.144304	
Epoch 1.69 / 80, i = 246 / 28480, loss = 2.081335	
Epoch 1.69 / 80, i = 247 / 28480, loss = 2.104536	
Epoch 1.70 / 80, i = 248 / 28480, loss = 2.088344	
Epoch 1.70 / 80, i = 249 / 28480, loss = 2.133871	
Epoch 1.70 / 80, i = 250 / 28480, loss = 2.104499	
Epoch 1.71 / 80, i = 251 / 28480, loss = 2.161108	
Epoch 1.71 / 80, i = 252 / 28480, loss = 2.139407	
Epoch 1.71 / 80, i = 253 / 28480, loss = 2.118182	
Epoch 1.71 / 80, i = 254 / 28480, loss = 2.092268	
Epoch 1.72 / 80, i = 255 / 28480, loss = 2.114360	
Epoch 1.72 / 80, i = 256 / 28480, loss = 2.115824	
Epoch 1.72 / 80, i = 257 / 28480, loss = 2.084327	
Epoch 1.72 / 80, i = 258 / 28480, loss = 2.113920	
Epoch 1.73 / 80, i = 259 / 28480, loss = 2.103002	
Epoch 1.73 / 80, i = 260 / 28480, loss = 2.080334	
Epoch 1.73 / 80, i = 261 / 28480, loss = 2.085027	
Epoch 1.74 / 80, i = 262 / 28480, loss = 2.126438	
Epoch 1.74 / 80, i = 263 / 28480, loss = 2.100406	
Epoch 1.74 / 80, i = 264 / 28480, loss = 2.031727	
Epoch 1.74 / 80, i = 265 / 28480, loss = 2.110930	
Epoch 1.75 / 80, i = 266 / 28480, loss = 2.065466	
Epoch 1.75 / 80, i = 267 / 28480, loss = 2.083410	
Epoch 1.75 / 80, i = 268 / 28480, loss = 2.052769	
Epoch 1.76 / 80, i = 269 / 28480, loss = 2.068233	
Epoch 1.76 / 80, i = 270 / 28480, loss = 2.088900	
Epoch 1.76 / 80, i = 271 / 28480, loss = 2.076174	
Epoch 1.76 / 80, i = 272 / 28480, loss = 2.083310	
Epoch 1.77 / 80, i = 273 / 28480, loss = 2.109649	
Epoch 1.77 / 80, i = 274 / 28480, loss = 2.062972	
Epoch 1.77 / 80, i = 275 / 28480, loss = 2.087320	
Epoch 1.78 / 80, i = 276 / 28480, loss = 2.085685	
Epoch 1.78 / 80, i = 277 / 28480, loss = 2.080889	
